#	schema=1	kind	word	ukPhonic	usPhonic	value
row	pron	一擔擔	[jat1 daam1 daam1]		[jat1 daam1 daam1] 半斤八两，彼此差不多（多含贬义）〈熟语〉	
row	sentence	一擔擔			例句：佢哋兩個做嘢態度都係一擔擔。（keoi5 dei6 loeng5 go3 zou6 je5 taai3 dou6 dou1 hai6 jat1 daam1 daam1.）（他们两个做事态度都是半斤八两一个样。）	
row	sentence	一擔擔			例句：邊個都唔好話邊個，一擔擔。（bin1 go3 dou1 m4 hou2 waa6 bin1 go3, jat1 daam1 daam1.）（谁也别笑话谁，彼此半斤八两。）	
row	pron	一陣	[jat1 zan6]		[jat1 zan6] 一会儿，一阵子〈名/副〉	
row	sentence	一陣			例句：等我一陣，好快好！（dang2 ngo5 jat1 zan6, hou2 faai3 hou2!）（等我一会儿，很快好！）	
row	sentence	一陣			例句：一陣間一齊去食飯。（jat1 zan6 gaan1 jat1 cai4 heoi3 sik6 faan6.）（一会儿一起去吃饭。）	
row	pron	一頭霧水	[jat1 tau4 mou6 seoi2]		[jat1 tau4 mou6 seoi2] 一头雾水，摸不着头脑，完全困惑〈形〉	
row	sentence	一頭霧水			例句：聽完佢解釋，我更加一頭霧水。（teng1 jyun4 keoi5 gaai2 sik1, ngo5 gang3 gaa1 jat1 tau4 mou6 seoi2.）（听完他的解释，我反而更加一头雾水了。）	
row	sentence	一頭霧水			例句：件事搞到大家一頭霧水。（gin6 si6 gaau2 dou3 daai6 gaa1 jat1 tau4 mou6 seoi2.）（这件事情搞得大家摸不着头脑。）	
row	pron	一齊	[jat1 cai4]		[jat1 cai4] 一起，一同〈副〉	
row	sentence	一齊			例句：我哋一齊去睇戲啦。（ngo5 dei6 jat1 cai4 heoi3 tai2 hei3 laa1.）（我们一起去看电影吧。）	
row	sentence	一齊			例句：大家一齊舉杯！（daai6 gaa1 jat1 cai4 geoi2 bui1!）（大家一起干杯！）	
row	pron	七國咁亂	[cat1 gwok3 gam3 lyun6]		[cat1 gwok3 gam3 lyun6] 乱七八糟，像战国七雄一样极其混乱〈熟语〉	
row	sentence	七國咁亂			例句：間房好耐冇執，七國咁亂。（gaan1 fong2 hou2 noi6 mou5 zap1, cat1 gwok3 gam3 lyun6.）（房间很久没收拾了，乱七八糟。）	
row	sentence	七國咁亂			例句：現場秩序搞到七國咁亂。（jin6 coeng4 zit3 zeoi6 gaau2 dou3 cat1 gwok3 gam3 lyun6.）（现场秩序乱得像一锅粥。）	
row	pron	上車	[soeng5 ce1]		[soeng5 ce1] 上车〈动〉	
row	sentence	上車			例句：人好多，小心上車。（jan4 hou2 do1, siu2 sam1 soeng5 ce1.）（人很多，小心上车。）	
row	sentence	上車			例句：等車停定先好上車。（dang2 ce1 ting4 ding6 sin1 hou2 soeng5 ce1.）（等车停稳了再上车。）	
row	pron	下晝	[haa6 zau3]		[haa6 zau3] 下午〈名〉	
row	sentence	下晝			例句：下晝三點去食下午茶。（haa6 zau3 saam1 dim2 heoi3 sik6 haa6 zau3 caa4.）（下午三点去吃下午茶。）	
row	sentence	下晝			例句：下晝我有一個面試。（haa6 zau3 ngo5 jau5 jat1 go3 min6 si3.）（下午我有一个面试。）	
row	pron	乾炒牛河	[gon1 caau2 ngau4 ho2]		[gon1 caau2 ngau4 ho2] 干炒牛河（考验粤菜厨师镬气的经典炒河粉）〈名〉	
row	sentence	乾炒牛河			例句：一碟合格嘅乾炒牛河必須夠鑊氣。（jat1 dip6 hap6 gak3 ge3 gon1 caau2 ngau4 ho2 bit1 seoi1 gau3 wok6 hei3.）（一盘合格的干炒牛河必须锅气十足。）	
row	sentence	乾炒牛河			例句：牛肉好嫩，河粉條條分明。（ngau4 juk6 hou2 nyun3, ho4 fan2 tiu4 tiu4 fan1 ming4.）（牛肉鲜嫩，河粉根根分明不上色过黑。）	
row	pron	亂龍	[lyun6 lung4]		[lyun6 lung4] 乱套，混乱，杂乱无章〈形/动〉	
row	sentence	亂龍			例句：人手唔夠，成個現場搞到亂晒龍。（jan4 sau2 m4 gau3, seng4 go3 jin6 coeng4 gaau2 dou3 lyun6 saai3 lung4.）（人手不够，整个现场搞得乱成一团糟。）	
row	sentence	亂龍			例句：排隊唔好插隊，唔係就亂龍㗎喇。（paai4 deoi2 m4 hou2 caap3 deoi2, m4 hai6 zau6 lyun6 lung4 gaa3 laa3.）（排队不要插队，不然就要乱套了。）	
row	pron	人哋	[jan4 dei6]		[jan4 dei6] 人家，别人〈代〉	
row	sentence	人哋			例句：人哋都話唔去咯，你就咪逼人啦。（jan4 dei6 dou1 waa6 m4 heoi3 lok3, nei5 zau6 mai5 bik1 jan4 laa1.）（人家都说不去了，你就别逼人家了。）	
row	sentence	人哋			例句：唔好亂講人哋嘅嘢。（m4 hou2 lyun6 gong2 jan4 dei6 ge3 je5.）（不要胡乱议论别人的事情。）	
row	pron	人工	[jan4 gung1]		[jan4 gung1] 工资，薪金，薪水〈名〉	
