4480	215812	オレンジ	彼はオレンジが好き。	He likes oranges.
4481	215813	オンライン	トムはオンライン授業を受けてるよ。	Tom is taking online classes.
4482	215814	お願いします	お願いします。	Please.
4483	215815	お休み	明日はお休みです。	It is a holiday tomorrow.
4484	215816	お宮	以前この辺りに小さなお宮があった。	There used to be a small shrine around here.
4485	215817	お供	お供します。	I will accompany you.
4486	215818	お産	ケイちゃんはとても運がいいのよ。お産の時から、そうだったわ。	Kei's very lucky! He has been since his birth.
4487	215819	お使い	ご遠慮なくお使いください。	Be my guest.
4488	215820	お邪魔します	お邪魔します。	Hello, sorry for any trouble.
4489	215821	お手上げ	お手上げだ。	I'm at a complete loss!
4490	215822	お世辞	お世辞がお上手ね。	You flatter me.
4491	215823	お先に	お先にどうぞ。	After you.
4492	215824	お祖父さん	お祖父さんがかなり老衰している。	Grandfather is quite senile.
4493	215825	お祖母さん	お祖母さんの昔話は耳にたこができるほど聞かされた。	I've heard my grandma's stories so often that I'm heartily sick of them.
4494	215826	お早う	なぜ、早くないのに、「お早う」というのでしょう？	Why does one say "Good day" when the day is not good?
4495	215827	お大事に	どうぞお大事に。	Please take care of yourself.
4496	215828	お洒落	お洒落しなくてもいいのよ。	You don't have to dress up.
4497	215829	カーペット	床にカーペットを敷いた。	They laid the carpet on the floor.
4498	215830	ガイド	そのガイドを咎めるな。	Don't blame the guide.
4499	215831	ガイドブック	ガイドブックを過信しちゃいけない。	Don't rely too much on your guidebook.
4500	215832	カクテル	あのカクテルは甘くて飲みやすいよ。	That cocktail is sweet and easy to drink.
4501	215833	がっくり	がっくりだよ。	I lost heart.
4502	215834	カット	布を斜めにカットします。	Cut the cloth diagonally.
4503	215835	カテゴリー	作家としての彼女は伝統的なカテゴリーのいずれにも当てはまらない。	As a writer, she does not fit into any of the traditional categories.
4504	215836	カメラマン	私はカメラマンです。	I'm a photographer.
4505	215837	かも知れない	来週には凍るかも知れない。	It may freeze next week.
4506	215838	がる	温度が下がる。	The temperature falls.
4507	215839	カルテ	トムのカルテを見たことある？	Have you seen Tom's medical records?
4508	215840	ガレージ	ガレージは錆びている。	The garage has rusted.
4509	215841	カンニング	彼は生物の試験でカンニングした。	He cheated on the biology exam.
4510	215842	きっかり	１０時きっかりです。	It's ten o'clock sharp.
4511	215843	きっちり	私はきっちり３時間待った。	I have waited a full three hours.
4512	215844	きっぱり	彼女はきっぱり断った。	She refused outright.
4513	215845	キャッチ	ボールをキャッチしろ！	Catch the ball!
4514	215846	キャリア	彼の職業上のキャリアは破綻していた。	His professional career was bankrupt.
4515	215847	クイズ	このクイズは全然分からない。	I can make nothing of this quiz.
4516	215848	ぐっと	トムは悲鳴をぐっと堪えた。	Tom resisted the urge to scream.
4517	215849	ぐらい	何時ぐらい？	About what time?
4518	215850	クラブ	クラブで合宿がある。	There is a training camp with the club.
4519	215851	グラフ	そのパラグラフは内容を重視しています。	The paragraph emphasises the message.
4520	215852	グレー	トムにはグレーの車がある。	Tom has a gray car.
4521	215853	クレーン	クレーンを操縦するのには、勿論、免許が必要です。	Of course, a license is needed to operate a crane.
4522	215854	ゲスト	誰がゲストなの？	Who is the guest?
4523	215855	げっそり	彼女、しばらく見ない間にげっそりと痩せちゃったけど、何か大きな病気でもしたのかな。	She's become very thin in the long time since I last saw her. I wonder if she's fallen seriously ill or something.
4524	215856	けれど	彼は若いけれど利口だ。	Young as he is, he is clever.
4525	215857	ヶ月	約１ヶ月です。	It's about one month.
4526	215858	コーナー	それから，最終コーナーで全力疾走に入った。	And then, on the final turn, he began to sprint at full speed.
4527	215859	こだわる	細かいことにこだわるな。	Don't split hairs.
4528	215860	この間	この間彼に会った。	I met him the other day.
4529	215861	この頃	この頃あなたらしくない。	You don't seem to be yourself these days.
4530	215862	コマーシャル	テレビ番組にはコマーシャルが入る。	Television programs are interspersed with commercials.
4531	215863	コミュニケーション	コミュニケーションは、大切よ。	Communication is important.
4532	215864	コメント	失礼なコメントね！	What a rude comment!
4533	215865	コンタクト	コンタクト見つかった？	Did you find your contact lenses?
4534	215866	コンテスト	彼はコンテストで名を挙げた。	He distinguished himself in the contest.
4535	215867	コントラスト	その洋服は赤と白のコントラストが美しい。	The dress has a beautiful contrast between red and white.
4536	215868	コントロール	コントロールを失い始めた。	I began to lose control.
4537	215869	コンパス	コンパスは北を示す。	Compasses point north.
4538	215870	ご苦労様	ご苦労様でした。	Thank you for your trouble.
4539	215871	ございます	「ありがとうご座います」「どう致しまして」	"Thank you." "You're welcome."
4540	215872	ご馳走	ご馳走様でした。	That was a delicious meal.
4541	215873	ご無沙汰	ご無沙汰。元気？	It's been a while. How are you?
4542	215874	サイクル	リサイクルするの？	Do you recycle?
4543	215875	サイズ	ジャストサイズだよ。	It's just the right size.
4544	215876	さっと	彼女は服をさっと着た。	She slipped into her clothes.
4545	215877	サボる	ちょくちょくサボるよ。	I often play truant.
4546	215878	さん	妹さんは元気？	How's your sister?
4547	215879	サンタクロース	サンタクロースは実在する。	Santa Claus exists.
4548	215880	し	何してるの？	What are you doing?
4549	215881	シート	これがレシートです。	Here's my receipt.
4550	215882	ジーパン	普段はジーパンだよ。	I usually wear jeans.
4551	215883	しくじる	なす価値のあることはしくじる価値がある。	If a thing is worth doing it is worth doing badly.
4552	215884	システム	トムはシステムエンジニアだ。	Tom is a systems engineer.
4553	215885	シック	ホームシックです。	I feel homesick.
4554	215886	じっくり	物事をじっくり考える慎重派です。	I'm the type who likes to think things over very carefully.
4555	215887	シナリオ	最悪のシナリオは何ですか？	What's the worst case scenario?
4556	215888	しぶとい	彼は結構しぶといね。転んでもただでは起きぬ、いい根性しているよ。	He's a tenacious guy who always manages to come out on top. He's the kind of guy who can turn any situation to his advantage.
4557	215889	ジャズ	僕はジャズが好きだ。	I like jazz.
4558	215890	ジャンパー	おしゃれとは縁がなく、ジーパンにティーシャツ、ジャンパーといった格好で、駅まで自転車を走らせる。	Unfashionable as it is, he rides his bike to the station dressed in jeans, a tee shirt, and a jacket.
4559	215891	ジャンプ	ジャンプして！	Jump.
4560	215892	ジャンボ	私はジャンボ機が離陸するのを見た。	I saw a jumbo jet take off.
4561	215893	ジャンル	このジャンルの曲が好きです。	I like this kind of music.
4562	215894	ショー	いいショーでしたよ。	That was a good show.
4563	215895	ショック	ショックでした。	I was shocked.
4564	215896	しょっちゅう	僕はしょっちゅう行きます。	I go often.
4565	215897	スタジオ	スタジオに入れません。	We cannot go into the studio.
4566	215898	スチーム	彼は私達のテニスチームに入っている。	He belongs to our tennis team.
4567	215899	ストライキ	労働者達はストライキ中です。	The workers are on strike.
4568	215900	ストレス	ストレスがたまってきたよ。	I'm feeling stressed.
4569	215901	ストロー	ストローに穴は幾つあるでしょう？	How many holes are there in a straw?
4570	215902	ストロボ	ここでストロボ撮影をしてもいいですか。	Is it all right to use a flash here?
4571	215903	すばしこい	雀は動作が非常にすばしこい。	A sparrow is very alert in its movements.
4572	215904	ずばり	その問題についての彼の意見はずばり的を射ている。	His remarks on the subject are much to the point.
4573	215905	スピード	スピードを落とせ！	Slow down!
4574	215906	スプリング	ホワイト氏はスプリングフィールドのあるホテルの支配人でした。	Mr White was the manager of a hotel in Springfield.
4575	215907	ずぶ濡れ	ずぶ濡れじゃないか。	You're soaking wet.
4576	215908	スペース	サイバースペースへようこそ。	Welcome to Cyberspace!
4577	215909	スポーツカー	彼はスポーツカーのマニアだ。	He has mania for sports cars.
4578	215910	スラックス	彼のスラックスはしわくちゃだ。	His slacks are all wrinkled.
4579	215911	ずるずる	私はぬかるんだ斜面をずるずると滑り下りた。	I slithered down the muddy slope.
4580	215912	ずれ	千円札くずれますか。	Can you break a 1000 yen bill?
4581	215913	ずれる	来週天気がくずれることはないでしょう。	I do not believe the weather will change for the worse next week.
4582	215914	すれ違う	彼女は通りですれ違う時に私に微笑みかけた。	She smiled at me as she passed me in the street.
4583	215915	セール	夏物は今セール中です。	The summer goods are now on sale.
4584	215916	セクション	この論評の最初のセクションでは、脳のプロセスがどのように我々の意識経験を引き起こすかという問題を提起する。	In the first section of this review I raise the question of how brain processes cause our conscious experiences.
4585	215917	セックス	愛のないセックスはあり？	Is sex possible without love?
4586	215918	ゼリー	彼の好きなのはゼリーです。	It is jelly that he likes.
