9980	221560	直往邁進	目標へ直往邁進する。	
9981	221561	直立不動	直立不動の姿勢で待つ。	
9982	221562	沈思黙考	沈思黙考の一週間だった。	
9983	221563	低頭平身	低頭平身の礼を取る。	
9984	221564	天井桟敷	文壇の天井桟敷に立つ。	
9985	221565	天下一品	天下一品の味だ。	
9986	221566	天空海濶	天空海濶の眺めだ。	
9987	221567	天地開闢	天地開闢以来の大事業だ。	
9988	221568	天地神明	天地神明に誓って嘘ではない。	
9989	221569	天地創造	天地創造の神話だ。	
9990	221570	天地万物	天地万物はみな循環している。	
9991	221571	天地無用	箱に天地無用の印がある。	
9992	221572	天長地久	天長地久の愛を誓う。	
9993	221573	天佑神助	天佑神助を信じて挑む。	
9994	221574	徒手空拳	徒手空拳で事業を起こした。	
9995	221575	党利党略	党利党略に走るな。	
9996	221576	当意即妙	当意即妙な返しに笑った。	
9997	221577	同化作用	光合成は同化作用だ。	
9998	221578	同工異曲	両案は同工異曲だ。	
9999	221579	同文同種	同文同種の隣国だ。	
10000	221580	同盟罷業	労組が同盟罷業に突入した。	
10001	221581	得手勝手	得手勝手な要求だ。	
10002	221582	内政干渉	内政干渉に抗議する。	
10003	221583	内憂外患	内憂外患の状況だ。	
10004	221584	南征北伐	南征北伐を重ねる。	
10005	221585	南船北馬	南船北馬の旅が続く。	
10006	221586	難攻不落	難攻不落の城だ。	
10007	221587	二股膏薬	二股膏薬の態度を取る。	
10008	221588	二者選一	二者選一を迫られる。	
10009	221589	二律背反	自由と安全は二律背反だ。	
10010	221590	二六時中	二六時中仕事のことばかり。	
10011	221591	日常茶飯	残業は日常茶飯事だ。	
10012	221592	年功加俸	年功加俸の制度だ。	
10013	221593	年中行事	夏祭りは町の年中行事だ。	
10014	221594	年百年中	年百年中忙しい。	
10015	221595	馬耳東風	忠告も馬耳東風だった。	
10016	221596	博愛主義	博愛主義の精神だ。	
10017	221597	博引旁証	博引旁証して論じる。	
10018	221598	博学多才	博学多才の先生だ。	
10019	221599	博覧強記	博覧強記の博士だ。	
10020	221600	白河夜船	都合が悪くなると白河夜船だ。	
10021	221601	薄志弱行	薄志弱行の態度だ。	
10022	221602	薄利多売	薄利多売が商売の基本だ。	
10023	221603	八紘一宇	八紘一宇という戦時標語だ。	
10024	221604	半死半生	半死半生の状態で帰った。	
10025	221605	半信半疑	半信半疑で話を聞く。	
10026	221606	半身不随	脳梗塞で半身不随になった。	
10027	221607	反面教師	彼はよい反面教師だ。	
10028	221608	繁文縟礼	繁文縟礼を廃止する。	
10029	221609	悲歌慷慨	悲歌慷慨の日々だった。	
10030	221610	悲憤慷慨	不正には悲憤慷慨する。	
10031	221611	疲労困憊	疲労困憊で倒れそうだ。	
10032	221612	匹夫匹婦	匹夫匹婦の身分だ。	
10033	221613	百家争鳴	学界は百家争鳴の様相だ。	
10034	221614	百花斉放	百花斉放の文化政策だ。	
10035	221615	百戦百勝	百戦百勝の名将だ。	
10036	221616	不可思議	不可思議な現象だ。	
10037	221617	不倶戴天	不倶戴天の仇だ。	
10038	221618	不言不語	不言不語で過ごす。	
10039	221619	不在証明	完璧な不在証明が崩れた。	
10040	221620	不承不承	不承不承引き受けた。	
10041	221621	不即不離	師と不即不離の関係だ。	
10042	221622	不得要領	不得要領な返事だ。	
10043	221623	不平不満	不平不満ばかり言うな。	
10044	221624	不眠不休	不眠不休で看病した。	
10045	221625	不老不死	不老不死の霊薬だ。	
10046	221626	不羈奔放	不羈奔放な性格だ。	
10047	221627	付和雷同	付和雷同するな。	
10048	221628	武陵桃源	この村は武陵桃源のようだ。	
10049	221629	風紀紊乱	風紀紊乱を正す。	
