1180	212512	片付ける	家を片付ける必要がある。	I need to declutter my house.
1181	212513	返事	返事がない。	There is no reply.
1182	212514	捕まえる	虫を捕まえる。	I capture insects.
1183	212515	暮れる	冬の日は速く暮れる。	The night falls fast in winter.
1184	212516	包む	包む必要はありません。	You don't have to wrap it up.
1185	212517	放送	絶賛放送中！	Currently on air!
1186	212518	法律	法律ですから。	It's the law.
1187	212519	訪ねる	明日彼を訪ねるつもりだ。	I'll call on him tomorrow.
1188	212520	亡くなる	交通事故で亡くなる方も多いです。	Many people die in traffic accidents.
1189	212521	忘れ物	忘れ物ない？	Do you have everything?
1190	212522	貿易	貿易が国富を増大させた。	Trade increased the country's wealth.
1191	212523	僕	僕は忙しい。	I'm busy.
1192	212524	翻訳	翻訳された!	Translated!
1193	212525	漫画	私は漫画家です。	I'm a cartoonist.
1194	212526	味	後味が悪い。	It leaves a bad aftertaste.
1195	212527	味噌	味噌汁が温まった。	The miso soup has heated up.
1196	212528	眠い	眠いですか？	Are you sleepy?
1197	212529	眠る	私と友に眠る。	She lies here beside me.
1198	212530	夢	夢をつかめ！	Get the dream.
1199	212531	無くなる	会議は恐らく無くなるよ。	The meeting will probably be canceled.
1200	212532	無理	絶対無理だ。	It's absolutely impossible.
1201	212533	娘	猫娘は好き。	I like catgirls.
1202	212534	鳴る	怒鳴るなよ。	Don't shout.
1203	212535	毛	はい、毛布。	Here is a blanket.
1204	212536	木綿	このブラウスは木綿製です。	This blouse is cotton.
1205	212537	戻る	すぐに戻るよ。	I will be back soon.
1206	212538	役に立つ	役に立つはずだ。	That ought to help.
1207	212539	約束	約束するよ。	I give you my word.
1208	212540	訳	その内訳は？	Give me the details.
1209	212541	輸出	輸出業界は青息吐息だ。	The export business isn't doing well.
1210	212542	輸入	輸入車の需要は強い。	Imported cars are in strong demand.
1211	212543	優しい	優しい人です。	He is kind.
1212	212544	遊び	遊びましょう。	Let's play.
1213	212545	予習	彼は予習した。	He prepared his lessons.
1214	212546	予定	次の予定は？	What's next on the schedule?
1215	212547	予約	予約してある。	I have a reservation.
1216	212548	揺れる	家が揺れるのを感じた。	I felt the house shake.
1217	212549	用	他にご用は？	Did you want anything else?
1218	212550	用意	早く用意して。	Get ready quickly.
1219	212551	用事	今日用事あるの？	Is there anything you need to do today?
1220	212552	葉	葉が落ちた。	The leaves fell.
1221	212553	踊り	踊り続けて。	Keep dancing.
1222	212554	踊る	踊るのが大っ嫌い。	I hate dancing.
1223	212555	落とす	そのコップを落すな。	Don't drop that cup.
1224	212556	利用	再利用するの？	Do you recycle?
1225	212557	理由	理由は簡単だよ。	The reason is simple.
1226	212558	裏	彼は裏切った。	He turned traitor.
1227	212559	立てる	腹を立てるな。	Don't get angry.
1228	212560	留守	母は留守です。	Mother is away from home.
1229	212561	旅館	あの旅館は家庭的だ。	The hotel has a homey atmosphere.
1230	212562	両方	両方好きよ。	I like both of them.
1231	212563	力	力が尽きた。	My strength is all gone.
1232	212564	林	林に竹が目立つ。	Bamboo stands out in the woods.
1233	212565	例えば	例えば、これはペンです。	For example, this is a pen.
1234	212566	冷える	ひどく冷えるなあ。	It's very cold.
1235	212567	冷房	この部屋は冷房してある。	This room is air-conditioned.
1236	212568	歴史	歴史は繰り返す。	History repeats itself.
1237	212569	連絡	連絡してね。	Keep in touch.
1238	212570	腕	腕を放して。	Let go of my arm!
1239	212571	アイスクリーム	アイスクリームが好きだ。	I like ice cream.
1240	212572	あいにく	あいにく話中です。	I'm afraid the line is busy.
1241	212573	アイロン	アイロンがけ、大っ嫌い。	I hate ironing.
1242	212574	アウト	テイクアウトしよう。	Let's get takeout.
1243	212575	あした	またあしたね。	See you tomorrow!
1244	212576	あちこち	あちこち痒いよ。	I feel itchy everywhere.
1245	212577	あっ	何かあった？	Anything new?
1246	212578	あと	あと一息だ。	We're almost there.
1247	212579	あらゆる	あらゆる機会を利用せよ。	You must avail yourself of every opportunity.
1248	212580	ありがとう	ありがとう！	Thank you!
1249	212581	アルバム	棚にアルバムがある。	There is an album on the shelf.
1250	212582	あんまり	あんまり無理するなよ。	Don't overdo it.
1251	212583	いえ	いえ、結構です。	No, thank you.
1252	212584	いけない	いけない人！	You're bad.
1253	212585	いずれ	いずれは死ぬんだよ。	We'll die sooner or later.
1254	212586	いたずら	彼はいたずら好きだ。	He likes to be mischievous.
1255	212587	いただきます	これをいただきます。	I'll take this.
1256	212588	いち	傷ついちゃった？	Are you hurt?
1257	212589	いつか	旅行はいつから？	When do you start on your trip?
1258	212590	いつでも	いつでも来て。	Come anytime.
1259	212591	いつまでも	いつまでもお幸せに！	I wish you a long and happy married life.
1260	212592	いらいら	本当にいらいらします。	It really gets on my nerves.
1261	212593	いらっしゃい	いらっしゃい。	Welcome.
1262	212594	いわゆる	彼女はいわゆる天才だ。	She is what is called a genius.
1263	212595	インク	彼女はインクで書いた。	She wrote in ink.
1264	212596	ウイスキー	このウイスキーはどう。	How do you like this whisky?
1265	212597	うがい	うがいはしたの？	Have you gargled?
1266	212598	うなる	この先どうなるの。	What will come?
